Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
48975335,Polje,Robert Seethaler,"Seethaler, Robert",,"=""9533320958""","=""9789533320953""",0,3.53,oceanmore,,176,2019,2018,,2025/03/24,to-read,to-read (#49),to-read,,,,0,0
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""0439686520""","=""9780439686525""",5,4.50,Scholastic Inc.,Paperback,870,2004,2003,,2017/09/18,,,read,✨✨✨,,,3,0
33232661,Elementarne čestice,Michel Houellebecq,"Houellebecq, Michel",Vladimir D. Janković,"=""8688335796""","=""9788688335799""",0,3.80,Booka,Paperback,334,2016,1998,,2025/03/13,to-read,to-read (#48),to-read,,,,0,0
28015912,Krotka,Fyodor Dostoevsky,"Dostoevsky, Fyodor","Mila Stojnić, Milosav Babović","=""8679580562""","=""9788679580566""",0,3.90,"LOM, Beograd",Paperback,182,2012,1876,,2025/03/12,to-read,to-read (#47),to-read,,,,0,0
55662605,"Mastering Mindful Eating: Transform Your Relationship with Food, Plus 30 Recipes to Engage the Senses",Michelle Babb,"Babb, Michelle",,"=""1632172941""","=""9781632172945""",0,3.60,Sasquatch Books,Paperback,208,2020,,,2025/03/08,to-read,to-read (#46),to-read,,,,0,0
208280432,Mis Lonliharts {Gospođica Usamljenasrca} ♥,Nathanael West,"West, Nathanael",Flavio Rigonat,"=""8679583545""","=""9788679583543""",2,3.56,L.O.M.,Paperback,118,2023,1933,2025/03/06,2025/01/09,,,read,"Evo, ne znam šta da kažem. ",,,1,0
17183656,Smeh u tami,Vladimir Nabokov,"Nabokov, Vladimir",,"=""8679580015""","=""9788679580016""",4,4.02,LOM,Paperback,188,2007,1932,2025/03/05,2025/03/04,,,read,"Nabokovu se mora priznati da je majstor pripovedanja. Njegov stil, rečenice, način na koji oživljava slike ispred naših očiju. On je kao pisac bio svestan toga, znao je da je genije, pa je stoga bio i elitista. <br/><br/>Albin, kritičar umetnosti, ugodno živi u Berlinu sa suprugom Elizabet i ćerkom Irmom. Sve mu je na dohvat ruke: stabilnost, porodica, društveni status. Međutim, Elizabet mu nije dovoljna. Ona ne poseduje onu strast koju je zamišljao da treba da ima žena u njegovom životu. I tako, dok sedi na svom snobovskom tronu, počinje da sanjari o ljubavnoj avanturi. Nažalost – ili na sreću, zavisi kako gledate – avantura mu se zaista i dešava.<br/><br/>Njegov izbor? Margo, devojka koja nema ništa osim fizičke lepote. I to je sasvim dovoljno za Albina. Slepo zaljubljen u ovu površnu, manipulativnu individuu, on je spreman da uništi sve što mu je zaista važno – svoju porodicu, ugled, pa na kraju i sopstveni život. Njegova zaslepljenost i nedostatak empatije čine ga jednim od najjadnijih likova koje je književnost ikada iznedrila. Ako bih pravila listu Top 10 najbednijih književnih likova, Albin bi zauzeo visoko mesto.<br/><br/>Snobizam, elitizam, potpuna nesposobnost da vidi dalje od svog nosa – to su Albinove ključne osobine. Njegovo divljenje umetnosti ne ide ruku pod ruku sa bilo kakvom emocionalnom dubinom ili intelektualnim dostojanstvom. On je čovek koji ne razume vrednost onoga što ima dok to ne izgubi. I onda? Onda postaje još jadniji.<br/><br/>Iako je roman pisan besprekorno, fabula majstorski vođena, a dijalozi puni suptilnog humora i ironije, krajnji utisak ostavlja gorak ukus u ustima. Nabokov je bez sumnje genije književnosti dvadesetog veka, ali priznajem – zajedno sa Kjubrikom, stavljam ga u paketić i bacam u kantu.<br/><br/>Zaključak: Smeh u tami jeste književno remek-delo, ali sa protagonistom kojeg ćete želeti da ošamarite kroz svaku stranicu. Ako ste ljubitelj Nabokova, pročitajte. Ako ne volite da provodite vreme sa snobovskim jadnicima – bolje preskočite. <br/><br/>",,,1,0
168632462,Stone Yard Devotional,Charlotte  Wood,"Wood, Charlotte",,"=""""","=""""",0,3.74,Allen & Unwin,ebook,320,2023,2023,,2025/03/02,to-read,to-read (#45),to-read,,,,0,0
5974287,Ježeva kućica,Branko Ćopić,"Ćopić, Branko",,"=""953171326X""","=""9789531713269""",0,4.60,Faust Vrančić,Hardcover,10,2002,1949,,2025/03/02,to-read,to-read (#44),to-read,,,,0,0
7521208,Otmenost ježa (7 rue de Grenelle #2),Muriel Barbery,"Barbery, Muriel",Melita Logo-Milutinović,"=""8677020640""","=""9788677020644""",0,3.81,Čarobna knjiga,Paperback,323,2008,2006,,2025/02/28,to-read,to-read (#43),to-read,,,,0,0
8520610,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,"Cain, Susan",,"=""0307352145""","=""9780307352149""",0,4.08,Crown Publishers,Hardcover,333,2012,2012,,2025/02/26,to-read,to-read (#42),to-read,,,,0,0
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""0439139597""","=""9780439139595""",5,4.57,Scholastic,Paperback,734,2002,2000,,2017/09/18,,,read,,,,2,0
17879546,Moja Afrika,Isak Dinesen,"Dinesen, Isak","Karen Blixen, Nedeljka Paravić, Janko Paravić","=""8634302075""","=""9788634302073""",0,3.91,"Globus, Zagreb",Hardcover,322,1986,1937,,2025/02/25,to-read,to-read (#41),to-read,,,,0,0
13519914,Rob,Isaac Bashevis Singer,"Singer, Isaac Bashevis",,"=""""","=""9788673466859""",0,4.23,"Dereta, Beograd",Hardcover,320,2008,1962,,2025/02/14,to-read,to-read (#40),to-read,,,,0,0
